Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Status
PG,Trevor Hudgins (26866228),Trevor Hudgins,26866228,PG/G/UTIL,3000,HOU@SAS 03/04/2023 08:00PM ET,HOU,2.8,B
C,Usman Garuba (26866231),Usman Garuba,26866231,C/UTIL,3000,HOU@SAS 03/04/2023 08:00PM ET,HOU,12.37,B
C,Udonis Haslem (26866101),Udonis Haslem,26866101,C/UTIL,3000,ATL@MIA 03/04/2023 08:00PM ET,MIA,2.83,B
SG,Jamal Cain (26866103),Jamal Cain,26866103,SG/G/UTIL,3000,ATL@MIA 03/04/2023 08:00PM ET,MIA,10.23,B
C,Orlando Robinson (26866106),Orlando Robinson,26866106,C/UTIL,3000,ATL@MIA 03/04/2023 08:00PM ET,MIA,11.47,B
SF/PF,Haywood Highsmith (26866108),Haywood Highsmith,26866108,SF/PF/F/UTIL,3000,ATL@MIA 03/04/2023 08:00PM ET,MIA,12.42,B
C,Omer Yurtseven (26866112),Omer Yurtseven,26866112,C/UTIL,3000,ATL@MIA 03/04/2023 08:00PM ET,MIA,0,O
C,Nikola Jovic (26866114),Nikola Jovic,26866114,C/UTIL,3000,ATL@MIA 03/04/2023 08:00PM ET,MIA,10.18,O
SG,Marjon Beauchamp (26866093),Marjon Beauchamp,26866093,SG/G/UTIL,3000,PHI@MIL 03/04/2023 08:30PM ET,MIL,10.18,B
C,Meyers Leonard (26866096),Meyers Leonard,26866096,C/UTIL,3000,PHI@MIL 03/04/2023 08:30PM ET,MIL,6,B
PF,Thanasis Antetokounmpo (26866098),Thanasis Antetokounmpo,26866098,PF/F/UTIL,3000,PHI@MIL 03/04/2023 08:30PM ET,MIL,2.25,B
C,Luka Garza (26866056),Luka Garza,26866056,C/UTIL,3000,MIN@SAC 03/04/2023 10:00PM ET,MIN,11.2,B
PG/SG,Austin Rivers (26866202),Austin Rivers,26866202,PG/SG/G/UTIL,3000,MIN@SAC 03/04/2023 10:00PM ET,MIN,11.07,B
SG,Josh Minott (26866206),Josh Minott,26866206,SG/G/UTIL,3000,MIN@SAC 03/04/2023 10:00PM ET,MIN,7.91,B
SG/SF,Wendell Moore Jr. (26866209),Wendell Moore Jr.,26866209,SG/SF/F/G/UTIL,3000,MIN@SAC 03/04/2023 10:00PM ET,MIN,4.12,B
C,Nathan Knight (26866214),Nathan Knight,26866214,C/UTIL,3000,MIN@SAC 03/04/2023 10:00PM ET,MIN,7.03,B
SG/SF,Matt Ryan (26866216),Matt Ryan,26866216,SG/SF/F/G/UTIL,3000,MIN@SAC 03/04/2023 10:00PM ET,MIN,6.26,B
SF,Danuel House Jr. (26866156),Danuel House Jr.,26866156,SF/F/UTIL,3000,PHI@MIL 03/04/2023 08:30PM ET,PHI,8.36,B
PF,Georges Niang (26866159),Georges Niang,26866159,PF/F/UTIL,3000,PHI@MIL 03/04/2023 08:30PM ET,PHI,14.81,B
PG/SG,Shake Milton (26866162),Shake Milton,26866162,PG/SG/G/UTIL,3000,PHI@MIL 03/04/2023 08:30PM ET,PHI,16.81,B
SG,Furkan Korkmaz (26866166),Furkan Korkmaz,26866166,SG/G/UTIL,3000,PHI@MIL 03/04/2023 08:30PM ET,PHI,6.99,B
PF,Louis King (26866169),Louis King,26866169,PF/F/UTIL,3000,PHI@MIL 03/04/2023 08:30PM ET,PHI,0,B
PG,Mac McClung (26866172),Mac McClung,26866172,PG/G/UTIL,3000,PHI@MIL 03/04/2023 08:30PM ET,PHI,0,B
SG,Jaden Springer (26866175),Jaden Springer,26866175,SG/G/UTIL,3000,PHI@MIL 03/04/2023 08:30PM ET,PHI,4.96,B
C,Dewayne Dedmon (26866178),Dewayne Dedmon,26866178,C/UTIL,3000,PHI@MIL 03/04/2023 08:30PM ET,PHI,12.31,B
PG,Matthew Dellavedova (26866032),Matthew Dellavedova,26866032,PG/G/UTIL,3000,MIN@SAC 03/04/2023 10:00PM ET,SAC,4.22,B
SG/SF,PJ Dozier (26866116),PJ Dozier,26866116,SG/SF/F/G/UTIL,3000,MIN@SAC 03/04/2023 10:00PM ET,SAC,2.33,B
C,Alex Len (26866121),Alex Len,26866121,C/UTIL,3000,MIN@SAC 03/04/2023 10:00PM ET,SAC,2.59,B
PG,Keon Ellis (26866123),Keon Ellis,26866123,PG/G/UTIL,3000,MIN@SAC 03/04/2023 10:00PM ET,SAC,4.47,B
PF,Kessler Edwards (26866126),Kessler Edwards,26866126,PF/F/UTIL,3000,MIN@SAC 03/04/2023 10:00PM ET,SAC,3,B
C,Neemias Queta (26866129),Neemias Queta,26866129,C/UTIL,3000,MIN@SAC 03/04/2023 10:00PM ET,SAC,6.56,B
C,Richaun Holmes (26866131),Richaun Holmes,26866131,C/UTIL,3000,MIN@SAC 03/04/2023 10:00PM ET,SAC,6.62,O
SF/PF,Dominick Barlow (26866035),Dominick Barlow,26866035,SF/PF/F/UTIL,3000,HOU@SAS 03/04/2023 08:00PM ET,SAS,7.69,B
C,Gorgui Dieng (26866039),Gorgui Dieng,26866039,C/UTIL,3000,HOU@SAS 03/04/2023 08:00PM ET,SAS,9.2,B
PF/C,Isaiah Roby (26866041),Isaiah Roby,26866041,PF/C/F/UTIL,3000,HOU@SAS 03/04/2023 08:00PM ET,SAS,9.66,B
SG,Romeo Langford (26866045),Romeo Langford,26866045,SG/G/UTIL,3000,HOU@SAS 03/04/2023 08:00PM ET,SAS,14.56,L
SG/SF,Julian Champagnie (26866133),Julian Champagnie,26866133,SG/SF/F/G/UTIL,3000,HOU@SAS 03/04/2023 08:00PM ET,SAS,1,B
C,Khem Birch (26866138),Khem Birch,26866138,C/UTIL,3000,HOU@SAS 03/04/2023 08:00PM ET,SAS,5.06,O
