Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG,Vit Krejci (26681648),Vit Krejci,26681648,PG/G/UTIL,3000,ATL@CHA 02/13/2023 07:00PM ET,ATL,3.39
SF,Tyrese Martin (26681651),Tyrese Martin,26681651,SF/F/UTIL,3000,ATL@CHA 02/13/2023 07:00PM ET,ATL,1.88
SF,Donovan Williams (26681654),Donovan Williams,26681654,SF/F/UTIL,3000,ATL@CHA 02/13/2023 07:00PM ET,ATL,0
SG,Garrison Mathews (26681657),Garrison Mathews,26681657,SG/G/UTIL,3000,ATL@CHA 02/13/2023 07:00PM ET,ATL,8.83
PG,Jamaree Bouyea (26681545),Jamaree Bouyea,26681545,PG/G/UTIL,3000,DEN@MIA 02/13/2023 07:30PM ET,MIA,2.25
PF,Jamal Cain (26681548),Jamal Cain,26681548,PF/F/UTIL,3000,DEN@MIA 02/13/2023 07:30PM ET,MIA,10.65
C,Orlando Robinson (26681551),Orlando Robinson,26681551,C/UTIL,3000,DEN@MIA 02/13/2023 07:30PM ET,MIA,11.72
C,Udonis Haslem (26681553),Udonis Haslem,26681553,C/UTIL,3000,DEN@MIA 02/13/2023 07:30PM ET,MIA,2.83
SF/PF,Duncan Robinson (26681555),Duncan Robinson,26681555,SF/PF/F/UTIL,3000,DEN@MIA 02/13/2023 07:30PM ET,MIA,12.16
C,Nikola Jovic (26681559),Nikola Jovic,26681559,C/UTIL,3000,DEN@MIA 02/13/2023 07:30PM ET,MIA,10.18
C,Omer Yurtseven (26681561),Omer Yurtseven,26681561,C/UTIL,3000,DEN@MIA 02/13/2023 07:30PM ET,MIA,0
PF/C,Zeke Nnaji (26681751),Zeke Nnaji,26681751,PF/C/F/UTIL,3000,DEN@MIA 02/13/2023 07:30PM ET,DEN,9.84
C,DeAndre Jordan (26681755),DeAndre Jordan,26681755,C/UTIL,3000,DEN@MIA 02/13/2023 07:30PM ET,DEN,13.62
SG,Peyton Watson (26681757),Peyton Watson,26681757,SG/G/UTIL,3000,DEN@MIA 02/13/2023 07:30PM ET,DEN,2.91
PF,Jack White (26681760),Jack White,26681760,PF/F/UTIL,3000,DEN@MIA 02/13/2023 07:30PM ET,DEN,2.06
PG,Collin Gillespie (26681763),Collin Gillespie,26681763,PG/G/UTIL,3000,DEN@MIA 02/13/2023 07:30PM ET,DEN,0
PG/SG,Raul Neto (26681317),Raul Neto,26681317,PG/SG/G/UTIL,3000,SAS@CLE 02/13/2023 07:00PM ET,CLE,7.35
PF/C,Dean Wade (26681321),Dean Wade,26681321,PF/C/F/UTIL,3000,SAS@CLE 02/13/2023 07:00PM ET,CLE,14.62
C,Robin Lopez (26681525),Robin Lopez,26681525,C/UTIL,3000,SAS@CLE 02/13/2023 07:00PM ET,CLE,5.22
PF/C,Kevin Love (26681527),Kevin Love,26681527,PF/C/F/UTIL,3000,SAS@CLE 02/13/2023 07:00PM ET,CLE,20.92
SG/SF,Dylan Windler (26681531),Dylan Windler,26681531,SG/SF/F/G/UTIL,3000,SAS@CLE 02/13/2023 07:00PM ET,CLE,0
C,Isaiah Mobley (26681536),Isaiah Mobley,26681536,C/UTIL,3000,SAS@CLE 02/13/2023 07:00PM ET,CLE,3.16
