Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,WAvgPoints
OF,Cody Wilson (27412766),Cody Wilson,27412766,OF,2000,WAS@LAA 04/10/2023 09:38PM ET,WAS,0,0
OF,Jeremy De La Rosa (27412793),Jeremy De La Rosa,27412793,OF,2000,WAS@LAA 04/10/2023 09:38PM ET,WAS,0,0
OF,James Wood (27412804),James Wood,27412804,OF,2000,WAS@LAA 04/10/2023 09:38PM ET,WAS,0,0
SS,Kevin Maitan (27412808),Kevin Maitan,27412808,SS,2000,WAS@LAA 04/10/2023 09:38PM ET,LAA,0,0
C,Drew Millas (27412812),Drew Millas,27412812,C,2000,WAS@LAA 04/10/2023 09:38PM ET,WAS,0,0
SS,Arol Vera (27412818),Arol Vera,27412818,SS,2000,WAS@LAA 04/10/2023 09:38PM ET,LAA,0,0
SS,Kyren Paris (27412822),Kyren Paris,27412822,SS,2000,WAS@LAA 04/10/2023 09:38PM ET,LAA,0,0
OF,Jordyn Adams (27412823),Jordyn Adams,27412823,OF,2000,WAS@LAA 04/10/2023 09:38PM ET,LAA,0,0
OF,Jared Oliva (27412831),Jared Oliva,27412831,OF,2000,WAS@LAA 04/10/2023 09:38PM ET,LAA,0,0
SS,Leonel Valera (27412836),Leonel Valera,27412836,SS,2000,WAS@LAA 04/10/2023 09:38PM ET,WAS,0,0
C,Edgar Quero (27412845),Edgar Quero,27412845,C,2000,WAS@LAA 04/10/2023 09:38PM ET,LAA,0,0
OF,Donovan Casey (27412854),Donovan Casey,27412854,OF,2000,WAS@LAA 04/10/2023 09:38PM ET,WAS,0,0
2B/SS,Erick Mejia (27412867),Erick Mejia,27412867,2B/SS,2000,WAS@LAA 04/10/2023 09:38PM ET,WAS,0,0
2B,Travis Blankenhorn (27412872),Travis Blankenhorn,27412872,2B,2000,WAS@LAA 04/10/2023 09:38PM ET,WAS,0,0
C,Israel Pineda (27412886),Israel Pineda,27412886,C,2000,WAS@LAA 04/10/2023 09:38PM ET,WAS,0,0
2B/SS,Jeter Downs (27412889),Jeter Downs,27412889,2B/SS,2000,WAS@LAA 04/10/2023 09:38PM ET,WAS,0,0
OF,Yadiel Hernandez (27412916),Yadiel Hernandez,27412916,OF,2000,WAS@LAA 04/10/2023 09:38PM ET,WAS,0,0
2B,Michael Stefanic (27412926),Michael Stefanic,27412926,2B,2000,WAS@LAA 04/10/2023 09:38PM ET,LAA,0,0
OF,Aaron Whitefield (27412931),Aaron Whitefield,27412931,OF,2000,WAS@LAA 04/10/2023 09:38PM ET,LAA,0,0
1B/3B,Kevin Padlo (27412950),Kevin Padlo,27412950,1B/3B,2000,WAS@LAA 04/10/2023 09:38PM ET,LAA,0,0
1B,Taylor Jones (27412961),Taylor Jones,27412961,1B,2000,WAS@LAA 04/10/2023 09:38PM ET,LAA,0,0
OF,Mickey Moniak (27412969),Mickey Moniak,27412969,OF,2000,WAS@LAA 04/10/2023 09:38PM ET,LAA,0,0
OF,Kyle Isbel (27412564),Kyle Isbel,27412564,OF,2000,KC@TEX 04/10/2023 08:05PM ET,KC,3.57,3.57
OF,Bubba Thompson (27412573),Bubba Thompson,27412573,OF,2000,KC@TEX 04/10/2023 08:05PM ET,TEX,9.33,9.33
OF,Travis Jankowski (27412581),Travis Jankowski,27412581,OF,2000,KC@TEX 04/10/2023 08:05PM ET,TEX,5.75,5.75
C,Freddy Fermin (27412659),Freddy Fermin,27412659,C,2000,KC@TEX 04/10/2023 08:05PM ET,KC,0,0
OF/SS,Maikel Garcia (27412660),Maikel Garcia,27412660,SS/OF,2000,KC@TEX 04/10/2023 08:05PM ET,KC,0,0
OF,Dairon Blanco (27412662),Dairon Blanco,27412662,OF,2000,KC@TEX 04/10/2023 08:05PM ET,KC,0,0
C,Carter Jensen (27412696),Carter Jensen,27412696,C,2000,KC@TEX 04/10/2023 08:05PM ET,KC,0,0
C,Jakson Reetz (27412712),Jakson Reetz,27412712,C,2000,KC@TEX 04/10/2023 08:05PM ET,KC,0,0
2B/OF,Samad Taylor (27412718),Samad Taylor,27412718,2B/OF,2000,KC@TEX 04/10/2023 08:05PM ET,KC,0,0
SS,Nick Loftin (27412728),Nick Loftin,27412728,SS,2000,KC@TEX 04/10/2023 08:05PM ET,KC,0,0
SS,Jeison Guzman (27412730),Jeison Guzman,27412730,SS,2000,KC@TEX 04/10/2023 08:05PM ET,KC,0,0
SS,Luisangel Acuna (27412755),Luisangel Acuna,27412755,SS,2000,KC@TEX 04/10/2023 08:05PM ET,TEX,0,0
2B/3B,Nick Tanielu (27412762),Nick Tanielu,27412762,2B/3B,2000,KC@TEX 04/10/2023 08:05PM ET,TEX,0,0
OF,Evan Carter (27412772),Evan Carter,27412772,OF,2000,KC@TEX 04/10/2023 08:05PM ET,TEX,0,0
C,Jose Briceno (27412778),Jose Briceno,27412778,C,2000,KC@TEX 04/10/2023 08:05PM ET,KC,0,0
OF,Diego Hernandez (27412780),Diego Hernandez,27412780,OF,2000,KC@TEX 04/10/2023 08:05PM ET,KC,0,0
3B,Davis Wendzel (27412781),Davis Wendzel,27412781,3B,2000,KC@TEX 04/10/2023 08:05PM ET,TEX,0,0
C,David Garcia (27412782),David Garcia,27412782,C,2000,KC@TEX 04/10/2023 08:05PM ET,TEX,0,0
SS,Shervyen Newton (27412784),Shervyen Newton,27412784,SS,2000,KC@TEX 04/10/2023 08:05PM ET,KC,0,0
1B/3B,Dustin Harris (27412788),Dustin Harris,27412788,1B/3B,2000,KC@TEX 04/10/2023 08:05PM ET,TEX,0,0
2B,Justin Foscue (27412809),Justin Foscue,27412809,2B,2000,KC@TEX 04/10/2023 08:05PM ET,TEX,0,0
2B,Peyton Wilson (27412815),Peyton Wilson,27412815,2B,2000,KC@TEX 04/10/2023 08:05PM ET,KC,0,0
2B/SS,Ryan Goins (27412829),Ryan Goins,27412829,2B/SS,2000,KC@TEX 04/10/2023 08:05PM ET,KC,0,0
2B/OF,Trevor Hauver (27412834),Trevor Hauver,27412834,2B/OF,2000,KC@TEX 04/10/2023 08:05PM ET,TEX,0,0
SS,Cam Cauley (27412843),Cam Cauley,27412843,SS,2000,KC@TEX 04/10/2023 08:05PM ET,TEX,0,0
OF,Joe McCarthy (27412850),Joe McCarthy,27412850,OF,2000,KC@TEX 04/10/2023 08:05PM ET,TEX,0,0
OF,Julio Pablo Martinez (27412855),Julio Pablo Martinez,27412855,OF,2000,KC@TEX 04/10/2023 08:05PM ET,TEX,0,0
3B/SS,Ryan Dorow (27412857),Ryan Dorow,27412857,3B/SS,2000,KC@TEX 04/10/2023 08:05PM ET,TEX,0,0
SS,Chris Seise (27412873),Chris Seise,27412873,SS,2000,KC@TEX 04/10/2023 08:05PM ET,TEX,0,0
2B,Jonathan Ornelas (27412874),Jonathan Ornelas,27412874,2B,2000,KC@TEX 04/10/2023 08:05PM ET,TEX,0,0
OF,Jorge Bonifacio (27412878),Jorge Bonifacio,27412878,OF,2000,KC@TEX 04/10/2023 08:05PM ET,KC,0,0
OF,Sandro Fabian (27412880),Sandro Fabian,27412880,OF,2000,KC@TEX 04/10/2023 08:05PM ET,TEX,0,0
OF,Clint Frazier (27412899),Clint Frazier,27412899,OF,2000,KC@TEX 04/10/2023 08:05PM ET,TEX,0,0
OF,Leody Taveras (27412905),Leody Taveras,27412905,OF,2000,KC@TEX 04/10/2023 08:05PM ET,TEX,0,0
