Position,Name + ID,Name,ID,Roster_Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
RB,Gary Brightwell (31569428),Gary Brightwell,31569428,FLEX,200,GB@NYG 12/11/2023 08:15PM ET,NYG,0
RB,Emanuel Wilson (31569429),Emanuel Wilson,31569429,FLEX,200,GB@NYG 12/11/2023 08:15PM ET,GB,0
WR,Samori Toure (31569430),Samori Toure,31569430,FLEX,200,GB@NYG 12/11/2023 08:15PM ET,GB,1.65
WR,Bryce Ford-Wheaton (31569431),Bryce Ford-Wheaton,31569431,FLEX,200,GB@NYG 12/11/2023 08:15PM ET,NYG,0
TE,Luke Musgrave (31569432),Luke Musgrave,31569432,FLEX,200,GB@NYG 12/11/2023 08:15PM ET,GB,0
RB,Eric Gray (31569433),Eric Gray,31569433,FLEX,200,GB@NYG 12/11/2023 08:15PM ET,NYG,0.48
TE,Tyler Davis (31569434),Tyler Davis,31569434,FLEX,200,GB@NYG 12/11/2023 08:15PM ET,GB,0
RB,Ellis Merriweather (31569435),Ellis Merriweather,31569435,FLEX,200,GB@NYG 12/11/2023 08:15PM ET,GB,0
WR,Dennis Houston (31569436),Dennis Houston,31569436,FLEX,200,GB@NYG 12/11/2023 08:15PM ET,NYG,0
TE,Joel Wilson (31569437),Joel Wilson,31569437,FLEX,200,GB@NYG 12/11/2023 08:15PM ET,GB,0
WR,Bo Melton (31569438),Bo Melton,31569438,FLEX,200,GB@NYG 12/11/2023 08:15PM ET,GB,0
RB,Jashaun Corbin (31569439),Jashaun Corbin,31569439,FLEX,200,GB@NYG 12/11/2023 08:15PM ET,NYG,1.43
WR,Gunner Olszewski (31569440),Gunner Olszewski,31569440,FLEX,200,GB@NYG 12/11/2023 08:15PM ET,NYG,-0.14
RB,Deon Jackson (31569441),Deon Jackson,31569441,FLEX,200,GB@NYG 12/11/2023 08:15PM ET,NYG,1.5
TE,Ben Sims (31569442),Ben Sims,31569442,FLEX,200,GB@NYG 12/11/2023 08:15PM ET,GB,0.88
RB,Henry Pearson (31569443),Henry Pearson,31569443,FLEX,200,GB@NYG 12/11/2023 08:15PM ET,GB,0
WR,Grant DuBose (31569444),Grant DuBose,31569444,FLEX,200,GB@NYG 12/11/2023 08:15PM ET,GB,0
WR,Dylan Drummond (31569445),Dylan Drummond,31569445,FLEX,200,GB@NYG 12/11/2023 08:15PM ET,NYG,0
TE,Ryan Jones (31569446),Ryan Jones,31569446,FLEX,200,GB@NYG 12/11/2023 08:15PM ET,NYG,0
RB,Kenyan Drake (31569447),Kenyan Drake,31569447,FLEX,200,GB@NYG 12/11/2023 08:15PM ET,GB,2.05
TE,Tyree Jackson (31569448),Tyree Jackson,31569448,FLEX,200,GB@NYG 12/11/2023 08:15PM ET,NYG,0
