Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Status,WAvgPoints
SG/SF,AJ Griffin (27102262),AJ Griffin,27102262,SG/SF/F/G/UTIL,3000,GSW@ATL 03/17/2023 07:30PM ET,ATL,14.67,B,14.67
SG/SF,Trent Forrest (27102267),Trent Forrest,27102267,SG/SF/F/G/UTIL,3000,GSW@ATL 03/17/2023 07:30PM ET,ATL,7.99,B,7.99
PG,Vit Krejci (27102272),Vit Krejci,27102272,PG/G/UTIL,3000,GSW@ATL 03/17/2023 07:30PM ET,ATL,3.13,B,3.13
SF,Tyrese Martin (27102275),Tyrese Martin,27102275,SF/F/UTIL,3000,GSW@ATL 03/17/2023 07:30PM ET,ATL,1.88,B,1.88
SF,Donovan Williams (27102278),Donovan Williams,27102278,SF/F/UTIL,3000,GSW@ATL 03/17/2023 07:30PM ET,ATL,0,B,0
C,Bruno Fernando (27102281),Bruno Fernando,27102281,C/UTIL,3000,GSW@ATL 03/17/2023 07:30PM ET,ATL,11.6,B,11.6
PF/C,Luke Kornet (27102382),Luke Kornet,27102382,PF/C/F/UTIL,3000,BOS@POR 03/17/2023 10:00PM ET,BOS,9.82,B,9.82
PG,JD Davison (27102386),JD Davison,27102386,PG/G/UTIL,3000,BOS@POR 03/17/2023 10:00PM ET,BOS,2.89,B,2.89
C,Mike Muscala (27102389),Mike Muscala,27102389,C/UTIL,3000,BOS@POR 03/17/2023 10:00PM ET,BOS,13.04,B,13.04
PF,Mfiondu Kabengele (27102391),Mfiondu Kabengele,27102391,PF/F/UTIL,3000,BOS@POR 03/17/2023 10:00PM ET,BOS,3.88,B,3.88
SF,Danilo Gallinari (27102394),Danilo Gallinari,27102394,SF/F/UTIL,3000,BOS@POR 03/17/2023 10:00PM ET,BOS,0,O,0
PG/SG,Payton Pritchard (27102397),Payton Pritchard,27102397,PG/SG/G/UTIL,3000,BOS@POR 03/17/2023 10:00PM ET,BOS,8.98,O,8.98
