Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Status,WAvgPoints,EWAvgPoints,
PG/SG,Dyson Daniels (27210286),Dyson Daniels,27210286,PG/SG/G/UTIL,3100,NOP@POR 03/27/2023 10:00PM ET,NOP,13.04,B,13.04,10,
C,Dewayne Dedmon (27210305),Dewayne Dedmon,27210305,C/UTIL,3100,PHI@DEN 03/27/2023 09:30PM ET,PHI,11.5,B,11.5,10,
PF/C,Ish Wainright (27210282),Ish Wainright,27210282,PF/C/F/UTIL,3100,PHX@UTA 03/27/2023 09:00PM ET,PHX,10.74,B,10.74,10,
SG,Johnny Juzang (27210302),Johnny Juzang,27210302,SG/G/UTIL,3100,PHX@UTA 03/27/2023 09:00PM ET,UTA,7.98,B,7.98,11,
PF/C,Marko Simonovic (27210511),Marko Simonovic,27210511,PF/C/F/UTIL,3000,CHI@LAC 03/27/2023 10:30PM ET,CHI,0,B,0,10,
PG,Carlik Jones (27210515),Carlik Jones,27210515,PG/G/UTIL,3000,CHI@LAC 03/27/2023 10:30PM ET,CHI,4.62,B,4.62,10,
PF/C,Terry Taylor (27210518),Terry Taylor,27210518,PF/C/F/UTIL,3000,CHI@LAC 03/27/2023 10:30PM ET,CHI,5.37,B,5.37,10,
PF,Javonte Green (27210522),Javonte Green,27210522,PF/F/UTIL,3000,CHI@LAC 03/27/2023 10:30PM ET,CHI,12.93,O,12.93,10,
PG,Lonzo Ball (27210525),Lonzo Ball,27210525,PG/G/UTIL,3000,CHI@LAC 03/27/2023 10:30PM ET,CHI,0,B,0,10,
PF,Justin Lewis (27210528),Justin Lewis,27210528,PF/F/UTIL,3000,CHI@LAC 03/27/2023 10:30PM ET,CHI,0,B,0,10,
PG,McKinley Wright IV (27210548),McKinley Wright IV,27210548,PG/G/UTIL,3000,DAL@IND 03/27/2023 07:00PM ET,DAL,9.48,B,9.48,10,
PF,Davis Bertans (27210551),Davis Bertans,27210551,PF/F/UTIL,3000,DAL@IND 03/27/2023 07:00PM ET,DAL,7.35,B,7.35,10,
C,JaVale McGee (27210554),JaVale McGee,27210554,C/UTIL,3000,DAL@IND 03/27/2023 07:00PM ET,DAL,8.6,B,8.6,10,
PF/C,Markieff Morris (27210556),Markieff Morris,27210556,PF/C/F/UTIL,3000,DAL@IND 03/27/2023 07:00PM ET,DAL,7.95,B,7.95,10,
SG/SF,Theo Pinson (27210560),Theo Pinson,27210560,SG/SF/F/G/UTIL,3000,DAL@IND 03/27/2023 07:00PM ET,DAL,4.68,B,4.68,10,
SG,AJ Lawson (27210565),AJ Lawson,27210565,SG/G/UTIL,3000,DAL@IND 03/27/2023 07:00PM ET,DAL,4.08,B,4.08,10,
C,DeAndre Jordan (27210317),DeAndre Jordan,27210317,C/UTIL,3000,PHI@DEN 03/27/2023 09:30PM ET,DEN,13.33,B,13.33,11,
PG,Ish Smith (27210319),Ish Smith,27210319,PG/G/UTIL,3000,PHI@DEN 03/27/2023 09:30PM ET,DEN,7.19,B,7.19,11,
