Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Status,WAvgPoints
C,John Butler (26888353),John Butler,26888353,C/UTIL,3000,POR@DET 03/06/2023 07:00PM ET,POR,1.56,B,1.56
PG,Ryan Arcidiacono (26888355),Ryan Arcidiacono,26888355,PG/G/UTIL,3000,POR@DET 03/06/2023 07:00PM ET,POR,2.93,O,2.93
C,Ibou Badji (26888358),Ibou Badji,26888358,C/UTIL,3000,POR@DET 03/06/2023 07:00PM ET,POR,0,O,0
PF/C,James Johnson (26888195),James Johnson,26888195,PF/C/F/UTIL,3000,PHI@IND 03/06/2023 07:00PM ET,IND,6.12,B,6.12
C,Daniel Theis (26888199),Daniel Theis,26888199,C/UTIL,3000,PHI@IND 03/06/2023 07:00PM ET,IND,15.07,B,15.07
PG,Trevelin Queen (26888201),Trevelin Queen,26888201,PG/G/UTIL,3000,PHI@IND 03/06/2023 07:00PM ET,IND,8.96,B,8.96
PF,Oshae Brissett (26888204),Oshae Brissett,26888204,PF/F/UTIL,3000,PHI@IND 03/06/2023 07:00PM ET,IND,12.28,B,12.28
C,Isaiah Jackson (26888207),Isaiah Jackson,26888207,C/UTIL,3000,PHI@IND 03/06/2023 07:00PM ET,IND,16.47,B,16.47
SF,Kendall Brown (26888209),Kendall Brown,26888209,SF/F/UTIL,3000,PHI@IND 03/06/2023 07:00PM ET,IND,4.67,B,4.67
PG/SG,Shake Milton (26888331),Shake Milton,26888331,PG/SG/G/UTIL,3000,PHI@IND 03/06/2023 07:00PM ET,PHI,16.6,B,16.6
SG,Furkan Korkmaz (26888335),Furkan Korkmaz,26888335,SG/G/UTIL,3000,PHI@IND 03/06/2023 07:00PM ET,PHI,6.99,B,6.99
PF,Louis King (26888338),Louis King,26888338,PF/F/UTIL,3000,PHI@IND 03/06/2023 07:00PM ET,PHI,0,B,0
PG,Mac McClung (26888341),Mac McClung,26888341,PG/G/UTIL,3000,PHI@IND 03/06/2023 07:00PM ET,PHI,0,B,0
SG,Jaden Springer (26888344),Jaden Springer,26888344,SG/G/UTIL,3000,PHI@IND 03/06/2023 07:00PM ET,PHI,4.96,B,4.96
C,Dewayne Dedmon (26888347),Dewayne Dedmon,26888347,C/UTIL,3000,PHI@IND 03/06/2023 07:00PM ET,PHI,12.31,B,12.31
PG/SG,Garrett Temple (26888294),Garrett Temple,26888294,PG/SG/G/UTIL,3000,NOP@SAC 03/06/2023 10:00PM ET,NOP,5,B,5
SF,Dereon Seabron (26888298),Dereon Seabron,26888298,SF/F/UTIL,3000,NOP@SAC 03/06/2023 10:00PM ET,NOP,1.05,B,1.05
PG/SG,Kira Lewis Jr. (26888301),Kira Lewis Jr.,26888301,PG/SG/G/UTIL,3000,NOP@SAC 03/06/2023 10:00PM ET,NOP,10.31,B,10.31
PF,E.J. Liddell (26888305),E.J. Liddell,26888305,PF/F/UTIL,3000,NOP@SAC 03/06/2023 10:00PM ET,NOP,0,O,0
SG/SF,PJ Dozier (26888148),PJ Dozier,26888148,SG/SF/F/G/UTIL,3000,NOP@SAC 03/06/2023 10:00PM ET,SAC,2.18,B,2.18
PG,Matthew Dellavedova (26888153),Matthew Dellavedova,26888153,PG/G/UTIL,3000,NOP@SAC 03/06/2023 10:00PM ET,SAC,4.22,B,4.22
C,Alex Len (26888156),Alex Len,26888156,C/UTIL,3000,NOP@SAC 03/06/2023 10:00PM ET,SAC,2.42,B,2.42
PG,Keon Ellis (26888158),Keon Ellis,26888158,PG/G/UTIL,3000,NOP@SAC 03/06/2023 10:00PM ET,SAC,4.47,B,4.47
PF,Kessler Edwards (26888161),Kessler Edwards,26888161,PF/F/UTIL,3000,NOP@SAC 03/06/2023 10:00PM ET,SAC,3.46,B,3.46
C,Neemias Queta (26888164),Neemias Queta,26888164,C/UTIL,3000,NOP@SAC 03/06/2023 10:00PM ET,SAC,6.56,B,6.56
C,Chimezie Metu (26888166),Chimezie Metu,26888166,C/UTIL,3000,NOP@SAC 03/06/2023 10:00PM ET,SAC,11.09,B,11.09
C,Richaun Holmes (26888168),Richaun Holmes,26888168,C/UTIL,3000,NOP@SAC 03/06/2023 10:00PM ET,SAC,6.62,B,6.62
PF/C,Blake Griffin (26888360),Blake Griffin,26888360,PF/C/F/UTIL,3000,BOS@CLE 03/06/2023 07:00PM ET,BOS,11.85,B,11.85
PG,JD Davison (26888364),JD Davison,26888364,PG/G/UTIL,3000,BOS@CLE 03/06/2023 07:00PM ET,BOS,1.58,B,1.58
PG/SG,Payton Pritchard (26888367),Payton Pritchard,26888367,PG/SG/G/UTIL,3000,BOS@CLE 03/06/2023 07:00PM ET,BOS,8.88,B,8.88
PF,Mfiondu Kabengele (26888371),Mfiondu Kabengele,26888371,PF/F/UTIL,3000,BOS@CLE 03/06/2023 07:00PM ET,BOS,3.88,B,3.88
SF,Danilo Gallinari (26888374),Danilo Gallinari,26888374,SF/F/UTIL,3000,BOS@CLE 03/06/2023 07:00PM ET,BOS,0,O,0
PG,Raul Neto (26888228),Raul Neto,26888228,PG/G/UTIL,3000,BOS@CLE 03/06/2023 07:00PM ET,CLE,7.17,B,7.17
C,Robin Lopez (26888231),Robin Lopez,26888231,C/UTIL,3000,BOS@CLE 03/06/2023 07:00PM ET,CLE,5.05,B,5.05
PF/C,Dean Wade (26888233),Dean Wade,26888233,PF/C/F/UTIL,3000,BOS@CLE 03/06/2023 07:00PM ET,CLE,13.31,B,13.31
SF,Dylan Windler (26888237),Dylan Windler,26888237,SF/F/UTIL,3000,BOS@CLE 03/06/2023 07:00PM ET,CLE,0,B,0
SG/SF,Danny Green (26888240),Danny Green,26888240,SG/SF/F/G/UTIL,3000,BOS@CLE 03/06/2023 07:00PM ET,CLE,6.18,B,6.18
SF/PF,Cedi Osman (26888245),Cedi Osman,26888245,SF/PF/F/UTIL,3000,BOS@CLE 03/06/2023 07:00PM ET,CLE,15.44,B,15.44
SG,Sam Merrill (26888249),Sam Merrill,26888249,SG/G/UTIL,3000,BOS@CLE 03/06/2023 07:00PM ET,CLE,2,B,2
PF/C,Isaiah Mobley (26888252),Isaiah Mobley,26888252,PF/C/F/UTIL,3000,BOS@CLE 03/06/2023 07:00PM ET,CLE,3.16,B,3.16
SF/PF,Lamar Stevens (26888256),Lamar Stevens,26888256,SF/PF/F/UTIL,3000,BOS@CLE 03/06/2023 07:00PM ET,CLE,11.32,B,11.32
PF/C,Mamadi Diakite (26888260),Mamadi Diakite,26888260,PF/C/F/UTIL,3000,BOS@CLE 03/06/2023 07:00PM ET,CLE,3.69,B,3.69
PG,Aaron Holiday (26888264),Aaron Holiday,26888264,PG/G/UTIL,3000,ATL@MIA 03/06/2023 07:30PM ET,ATL,8.99,B,8.99
SG,Garrison Mathews (26888267),Garrison Mathews,26888267,SG/G/UTIL,3000,ATL@MIA 03/06/2023 07:30PM ET,ATL,8.56,B,8.56
SG/SF,AJ Griffin (26888270),AJ Griffin,26888270,SG/SF/F/G/UTIL,3000,ATL@MIA 03/06/2023 07:30PM ET,ATL,14.95,B,14.95
SG/SF,Trent Forrest (26888275),Trent Forrest,26888275,SG/SF/F/G/UTIL,3000,ATL@MIA 03/06/2023 07:30PM ET,ATL,7.99,B,7.99
PG,Vit Krejci (26888280),Vit Krejci,26888280,PG/G/UTIL,3000,ATL@MIA 03/06/2023 07:30PM ET,ATL,3.27,B,3.27
PF,Jalen Johnson (26888283),Jalen Johnson,26888283,PF/F/UTIL,3000,ATL@MIA 03/06/2023 07:30PM ET,ATL,13.27,B,13.27
SF,Tyrese Martin (26888286),Tyrese Martin,26888286,SF/F/UTIL,3000,ATL@MIA 03/06/2023 07:30PM ET,ATL,1.88,B,1.88
SF,Donovan Williams (26888289),Donovan Williams,26888289,SF/F/UTIL,3000,ATL@MIA 03/06/2023 07:30PM ET,ATL,0,B,0
C,Bruno Fernando (26888292),Bruno Fernando,26888292,C/UTIL,3000,ATL@MIA 03/06/2023 07:30PM ET,ATL,11.96,B,11.96
C,Udonis Haslem (26888130),Udonis Haslem,26888130,C/UTIL,3000,ATL@MIA 03/06/2023 07:30PM ET,MIA,2.83,B,2.83
PF,Duncan Robinson (26888132),Duncan Robinson,26888132,PF/F/UTIL,3000,ATL@MIA 03/06/2023 07:30PM ET,MIA,11.72,B,11.72
SG,Jamal Cain (26888135),Jamal Cain,26888135,SG/G/UTIL,3000,ATL@MIA 03/06/2023 07:30PM ET,MIA,10.23,B,10.23
C,Orlando Robinson (26888138),Orlando Robinson,26888138,C/UTIL,3000,ATL@MIA 03/06/2023 07:30PM ET,MIA,11.47,B,11.47
SF/PF,Haywood Highsmith (26888140),Haywood Highsmith,26888140,SF/PF/F/UTIL,3000,ATL@MIA 03/06/2023 07:30PM ET,MIA,12.42,B,12.42
C,Omer Yurtseven (26888144),Omer Yurtseven,26888144,C/UTIL,3000,ATL@MIA 03/06/2023 07:30PM ET,MIA,0,B,0
C,Nikola Jovic (26888146),Nikola Jovic,26888146,C/UTIL,3000,ATL@MIA 03/06/2023 07:30PM ET,MIA,10.18,B,10.18
