Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Status,WAvgPoints
PF,Thanasis Antetokounmpo (27089477),Thanasis Antetokounmpo,27089477,PF/F/UTIL,3000,IND@MIL 03/16/2023 08:00PM ET,MIL,2.25,B,2.25
SG/SF,Wesley Matthews (27089480),Wesley Matthews,27089480,SG/SF/F/G/UTIL,3000,IND@MIL 03/16/2023 08:00PM ET,MIL,8.25,B,8.25
PG,AJ Green (27089485),AJ Green,27089485,PG/G/UTIL,3000,IND@MIL 03/16/2023 08:00PM ET,MIL,7.74,B,7.74
SF,Marjon Beauchamp (27089488),Marjon Beauchamp,27089488,SF/F/UTIL,3000,IND@MIL 03/16/2023 08:00PM ET,MIL,10.18,B,10.18
PG,Lindell Wigginton (27089491),Lindell Wigginton,27089491,PG/G/UTIL,3000,IND@MIL 03/16/2023 08:00PM ET,MIL,0,B,0
PG,Jared Butler (27089643),Jared Butler,27089643,PG/G/UTIL,3000,OKC@TOR 03/16/2023 07:30PM ET,OKC,8.88,B,8.88
PG/SG,Tre Mann (27089646),Tre Mann,27089646,PG/SG/G/UTIL,3000,OKC@TOR 03/16/2023 07:30PM ET,OKC,15.21,B,15.21
PF/C,Jeremiah Robinson-Earl (27089650),Jeremiah Robinson-Earl,27089650,PF/C/F/UTIL,3000,OKC@TOR 03/16/2023 07:30PM ET,OKC,16.71,B,16.71
C,Olivier Sarr (27089654),Olivier Sarr,27089654,C/UTIL,3000,OKC@TOR 03/16/2023 07:30PM ET,OKC,7.62,B,7.62
C,Kenrich Williams (27089656),Kenrich Williams,27089656,C/UTIL,3000,OKC@TOR 03/16/2023 07:30PM ET,OKC,19.55,B,19.55
C,Chet Holmgren (27089658),Chet Holmgren,27089658,C/UTIL,3000,OKC@TOR 03/16/2023 07:30PM ET,OKC,0,B,0
SF/PF,Chuma Okeke (27089618),Chuma Okeke,27089618,SF/PF/F/UTIL,3000,ORL@PHX 03/16/2023 10:00PM ET,ORL,13.04,B,13.04
SF/PF,Caleb Houstan (27089622),Caleb Houstan,27089622,SF/PF/F/UTIL,3000,ORL@PHX 03/16/2023 10:00PM ET,ORL,7.9,B,7.9
PG/SG,Michael Carter-Williams (27089626),Michael Carter-Williams,27089626,PG/SG/G/UTIL,3000,ORL@PHX 03/16/2023 10:00PM ET,ORL,0,B,0
SG/SF,Kevon Harris (27089630),Kevon Harris,27089630,SG/SF/F/G/UTIL,3000,ORL@PHX 03/16/2023 10:00PM ET,ORL,7.58,B,7.58
C,Goga Bitadze (27089635),Goga Bitadze,27089635,C/UTIL,3000,ORL@PHX 03/16/2023 10:00PM ET,ORL,10.12,B,10.12
PF/C,Admiral Schofield (27089637),Admiral Schofield,27089637,PF/C/F/UTIL,3000,ORL@PHX 03/16/2023 10:00PM ET,ORL,8.27,B,8.27
C,Jonathan Isaac (27089641),Jonathan Isaac,27089641,C/UTIL,3000,ORL@PHX 03/16/2023 10:00PM ET,ORL,14.18,B,14.18
SG,Damion Lee (27089518),Damion Lee,27089518,SG/G/UTIL,3000,ORL@PHX 03/16/2023 10:00PM ET,PHX,15.78,B,15.78
C,Bismack Biyombo (27089521),Bismack Biyombo,27089521,C/UTIL,3000,ORL@PHX 03/16/2023 10:00PM ET,PHX,12.46,B,12.46
PF/C,Darius Bazley (27089523),Darius Bazley,27089523,PF/C/F/UTIL,3000,ORL@PHX 03/16/2023 10:00PM ET,PHX,13.42,B,13.42
SF/PF,T.J. Warren (27089527),T.J. Warren,27089527,SF/PF/F/UTIL,3000,ORL@PHX 03/16/2023 10:00PM ET,PHX,13.5,B,13.5
PG,Saben Lee (27089531),Saben Lee,27089531,PG/G/UTIL,3000,ORL@PHX 03/16/2023 10:00PM ET,PHX,12.26,B,12.26
PG,Keon Ellis (27089472),Keon Ellis,27089472,PG/G/UTIL,3000,SAC@BKN 03/16/2023 07:30PM ET,SAC,4.02,B,4.02
C,Chimezie Metu (27089475),Chimezie Metu,27089475,C/UTIL,3000,SAC@BKN 03/16/2023 07:30PM ET,SAC,11.01,B,11.01
SG/SF,PJ Dozier (27089599),PJ Dozier,27089599,SG/SF/F/G/UTIL,3000,SAC@BKN 03/16/2023 07:30PM ET,SAC,1.91,B,1.91
PG,Matthew Dellavedova (27089604),Matthew Dellavedova,27089604,PG/G/UTIL,3000,SAC@BKN 03/16/2023 07:30PM ET,SAC,4.27,B,4.27
C,Alex Len (27089607),Alex Len,27089607,C/UTIL,3000,SAC@BKN 03/16/2023 07:30PM ET,SAC,2.18,B,2.18
SG/SF,Terence Davis (27089609),Terence Davis,27089609,SG/SF/F/G/UTIL,3000,SAC@BKN 03/16/2023 07:30PM ET,SAC,13.26,B,13.26
C,Neemias Queta (27089614),Neemias Queta,27089614,C/UTIL,3000,SAC@BKN 03/16/2023 07:30PM ET,SAC,6.56,B,6.56
C,Richaun Holmes (27089616),Richaun Holmes,27089616,C/UTIL,3000,SAC@BKN 03/16/2023 07:30PM ET,SAC,6.62,O,6.62
PF,Thaddeus Young (27089534),Thaddeus Young,27089534,PF/F/UTIL,3000,OKC@TOR 03/16/2023 07:30PM ET,TOR,12.22,B,12.22
PG/SG,Jeff Dowtin (27089537),Jeff Dowtin,27089537,PG/SG/G/UTIL,3000,OKC@TOR 03/16/2023 07:30PM ET,TOR,5.54,B,5.54
PG,Malachi Flynn (27089541),Malachi Flynn,27089541,PG/G/UTIL,3000,OKC@TOR 03/16/2023 07:30PM ET,TOR,9.92,B,9.92
SG/SF,Will Barton (27089544),Will Barton,27089544,SG/SF/F/G/UTIL,3000,OKC@TOR 03/16/2023 07:30PM ET,TOR,14.92,B,14.92
PF,Ron Harper Jr. (27089549),Ron Harper Jr.,27089549,PF/F/UTIL,3000,OKC@TOR 03/16/2023 07:30PM ET,TOR,3.38,B,3.38
PG/SG,Joe Wieskamp (27089552),Joe Wieskamp,27089552,PG/SG/G/UTIL,3000,OKC@TOR 03/16/2023 07:30PM ET,TOR,4.67,B,4.67
C,Christian Koloko (27089556),Christian Koloko,27089556,C/UTIL,3000,OKC@TOR 03/16/2023 07:30PM ET,TOR,10.39,B,10.39
PF,Otto Porter Jr. (27089558),Otto Porter Jr.,27089558,PF/F/UTIL,3000,OKC@TOR 03/16/2023 07:30PM ET,TOR,12.84,B,12.84
PG/SG,Dalano Banton (27089561),Dalano Banton,27089561,PG/SG/G/UTIL,3000,OKC@TOR 03/16/2023 07:30PM ET,TOR,9.52,O,9.52
