Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Status
PF/C,Zeke Nnaji (26785913),Zeke Nnaji,26785913,PF/C/F/UTIL,3000,DEN@MEM 02/25/2023 08:00PM ET,DEN,9.84,O
PG,Collin Gillespie (26785917),Collin Gillespie,26785917,PG/G/UTIL,3000,DEN@MEM 02/25/2023 08:00PM ET,DEN,0,O
SG/SF,Christian Braun (26785697),Christian Braun,26785697,SG/SF/F/G/UTIL,3000,DEN@MEM 02/25/2023 08:00PM ET,DEN,9.76,P
C,DeAndre Jordan (26785905),DeAndre Jordan,26785905,C/UTIL,3000,DEN@MEM 02/25/2023 08:00PM ET,DEN,13.62,P
SG,Peyton Watson (26785907),Peyton Watson,26785907,SG/G/UTIL,3000,DEN@MEM 02/25/2023 08:00PM ET,DEN,2.67,P
PF,Jack White (26785910),Jack White,26785910,PF/F/UTIL,3000,DEN@MEM 02/25/2023 08:00PM ET,DEN,1.91,P
C,Isaiah Jackson (26785688),Isaiah Jackson,26785688,C/UTIL,3000,IND@ORL 02/25/2023 07:00PM ET,IND,16.46,P
PF/C,James Johnson (26785844),James Johnson,26785844,PF/C/F/UTIL,3000,IND@ORL 02/25/2023 07:00PM ET,IND,6.12,P
PG/SG,George Hill (26785848),George Hill,26785848,PG/SG/G/UTIL,3000,IND@ORL 02/25/2023 07:00PM ET,IND,12.12,P
PG,Trevelin Queen (26785852),Trevelin Queen,26785852,PG/G/UTIL,3000,IND@ORL 02/25/2023 07:00PM ET,IND,8.96,P
PF,Oshae Brissett (26785855),Oshae Brissett,26785855,PF/F/UTIL,3000,IND@ORL 02/25/2023 07:00PM ET,IND,12.22,P
PF/C,Jalen Smith (26785858),Jalen Smith,26785858,PF/C/F/UTIL,3000,IND@ORL 02/25/2023 07:00PM ET,IND,19.69,P
SF/PF,Jordan Nwora (26785862),Jordan Nwora,26785862,SF/PF/F/UTIL,3000,IND@ORL 02/25/2023 07:00PM ET,IND,12.32,P
SF,Kendall Brown (26785866),Kendall Brown,26785866,SF/F/UTIL,3000,IND@ORL 02/25/2023 07:00PM ET,IND,4.67,Q
PF/C,Kenneth Lofton Jr. (26785792),Kenneth Lofton Jr.,26785792,PF/C/F/UTIL,3000,DEN@MEM 02/25/2023 08:00PM ET,MEM,3.53,P
PG,Kennedy Chandler (26785796),Kennedy Chandler,26785796,PG/G/UTIL,3000,DEN@MEM 02/25/2023 08:00PM ET,MEM,7.85,P
SG/SF,David Roddy (26785799),David Roddy,26785799,SG/SF/F/G/UTIL,3000,DEN@MEM 02/25/2023 08:00PM ET,MEM,12.11,P
SG,Vince Williams Jr. (26785804),Vince Williams Jr.,26785804,SG/G/UTIL,3000,DEN@MEM 02/25/2023 08:00PM ET,MEM,3.36,P
PF,Jake LaRavia (26785807),Jake LaRavia,26785807,PF/F/UTIL,3000,DEN@MEM 02/25/2023 08:00PM ET,MEM,7.82,P
SG/SF,Ziaire Williams (26785810),Ziaire Williams,26785810,SG/SF/F/G/UTIL,3000,DEN@MEM 02/25/2023 08:00PM ET,MEM,11.38,P
SG/SF,Luke Kennard (26785815),Luke Kennard,26785815,SG/SF/F/G/UTIL,3000,DEN@MEM 02/25/2023 08:00PM ET,MEM,13.96,P
C,Omer Yurtseven (26785842),Omer Yurtseven,26785842,C/UTIL,3000,MIA@CHA 02/25/2023 07:00PM ET,MIA,0,O
C,Udonis Haslem (26785833),Udonis Haslem,26785833,C/UTIL,3000,MIA@CHA 02/25/2023 07:00PM ET,MIA,2.83,P
SG,Jamal Cain (26785835),Jamal Cain,26785835,SG/G/UTIL,3000,MIA@CHA 02/25/2023 07:00PM ET,MIA,10.23,P
C,Orlando Robinson (26785838),Orlando Robinson,26785838,C/UTIL,3000,MIA@CHA 02/25/2023 07:00PM ET,MIA,11.47,P
C,Nikola Jovic (26785840),Nikola Jovic,26785840,C/UTIL,3000,MIA@CHA 02/25/2023 07:00PM ET,MIA,10.18,Q
PF,E.J. Liddell (26785885),E.J. Liddell,26785885,PF/F/UTIL,3000,NOP@NYK 02/25/2023 07:30PM ET,NOP,0,O
PF/C,Jaxson Hayes (26785869),Jaxson Hayes,26785869,PF/C/F/UTIL,3000,NOP@NYK 02/25/2023 07:30PM ET,NOP,10.93,P
PG/SF,Garrett Temple (26785873),Garrett Temple,26785873,PG/SF/F/G/UTIL,3000,NOP@NYK 02/25/2023 07:30PM ET,NOP,5.21,P
SF,Dereon Seabron (26785878),Dereon Seabron,26785878,SF/F/UTIL,3000,NOP@NYK 02/25/2023 07:30PM ET,NOP,1.05,P
PG/SG,Kira Lewis Jr. (26785881),Kira Lewis Jr.,26785881,PG/SG/G/UTIL,3000,NOP@NYK 02/25/2023 07:30PM ET,NOP,10.25,P
PG/SG,Miles McBride (26785693),Miles McBride,26785693,PG/SG/G/UTIL,3000,NOP@NYK 02/25/2023 07:30PM ET,NYK,7.58,P
PG/SG,Derrick Rose (26785758),Derrick Rose,26785758,PG/SG/G/UTIL,3000,NOP@NYK 02/25/2023 07:30PM ET,NYK,11.29,P
SF,DaQuan Jeffries (26785762),DaQuan Jeffries,26785762,SF/F/UTIL,3000,NOP@NYK 02/25/2023 07:30PM ET,NYK,0,P
SF,Trevor Keels (26785765),Trevor Keels,26785765,SF/F/UTIL,3000,NOP@NYK 02/25/2023 07:30PM ET,NYK,1.25,P
PF/C,Obi Toppin (26785768),Obi Toppin,26785768,PF/C/F/UTIL,3000,NOP@NYK 02/25/2023 07:30PM ET,NYK,12.67,P
