Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Status
SG/SF,Justin Holiday (26728270),Justin Holiday,26728270,SG/SF/F/G/UTIL,3000,SAS@DAL 02/23/2023 08:30PM ET,DAL,8.26,P
SG,AJ Lawson (26728275),AJ Lawson,26728275,SG/G/UTIL,3000,SAS@DAL 02/23/2023 08:30PM ET,DAL,4.08,P
SF,Theo Pinson (26728278),Theo Pinson,26728278,SF/F/UTIL,3000,SAS@DAL 02/23/2023 08:30PM ET,DAL,5.10,P
PG,McKinley Wright IV (26728281),McKinley Wright IV,26728281,PG/G/UTIL,3000,SAS@DAL 02/23/2023 08:30PM ET,DAL,8.05,P
PF,Davis Bertans (26728284),Davis Bertans,26728284,PF/F/UTIL,3000,SAS@DAL 02/23/2023 08:30PM ET,DAL,6.85,Q
PF/C,Maxi Kleber (26728287),Maxi Kleber,26728287,PF/C/F/UTIL,3000,SAS@DAL 02/23/2023 08:30PM ET,DAL,14.98,Q
SF/PF,Dominick Barlow (26728449),Dominick Barlow,26728449,SF/PF/F/UTIL,3000,SAS@DAL 02/23/2023 08:30PM ET,SAS,7.92,P
C,Gorgui Dieng (26728453),Gorgui Dieng,26728453,C/UTIL,3000,SAS@DAL 02/23/2023 08:30PM ET,SAS,9.96,P
SG/SF,Julian Champagnie (26728455),Julian Champagnie,26728455,SG/SF/F/G/UTIL,3000,SAS@DAL 02/23/2023 08:30PM ET,SAS,1,P
PG/SG,Blake Wesley (26728460),Blake Wesley,26728460,PG/SG/G/UTIL,3000,SAS@DAL 02/23/2023 08:30PM ET,SAS,8.23,P
PF/C,Isaiah Roby (26728464),Isaiah Roby,26728464,PF/C/F/UTIL,3000,SAS@DAL 02/23/2023 08:30PM ET,SAS,9.66,Q
C,Khem Birch (26728468),Khem Birch,26728468,C/UTIL,3000,SAS@DAL 02/23/2023 08:30PM ET,SAS,5.06,Q
PF/C,James Johnson (26728237),James Johnson,26728237,PF/C/F/UTIL,3000,BOS@IND 02/23/2023 07:00PM ET,IND,6.12,P
PG/SG,George Hill (26728241),George Hill,26728241,PG/SG/G/UTIL,3000,BOS@IND 02/23/2023 07:00PM ET,IND,12.12,P
PG,Trevelin Queen (26728245),Trevelin Queen,26728245,PG/G/UTIL,3000,BOS@IND 02/23/2023 07:00PM ET,IND,8.96,P
PF,Oshae Brissett (26728248),Oshae Brissett,26728248,PF/F/UTIL,3000,BOS@IND 02/23/2023 07:00PM ET,IND,12.22,P
SF,Kendall Brown (26728251),Kendall Brown,26728251,SF/F/UTIL,3000,BOS@IND 02/23/2023 07:00PM ET,IND,4.67,Q
PF/C,Jalen Smith (26728254),Jalen Smith,26728254,PF/C/F/UTIL,3000,BOS@IND 02/23/2023 07:00PM ET,IND,19.69,P
SF/PF,Jordan Nwora (26728258),Jordan Nwora,26728258,SF/PF/F/UTIL,3000,BOS@IND 02/23/2023 07:00PM ET,IND,12.33,P
PF/C,Luke Kornet (26728436),Luke Kornet,26728436,PF/C/F/UTIL,3000,BOS@IND 02/23/2023 07:00PM ET,BOS,10.45,P
PG,JD Davison (26728440),JD Davison,26728440,PG/G/UTIL,3000,BOS@IND 02/23/2023 07:00PM ET,BOS,1.58,P
SF,Danilo Gallinari (26728443),Danilo Gallinari,26728443,SF/F/UTIL,3000,BOS@IND 02/23/2023 07:00PM ET,BOS,0,O
PF,Mfiondu Kabengele (26728446),Mfiondu Kabengele,26728446,PF/F/UTIL,3000,BOS@IND 02/23/2023 07:00PM ET,BOS,3.88,P
C,Olivier Sarr (26728180),Olivier Sarr,26728180,C/UTIL,3000,OKC@UTA 02/23/2023 09:00PM ET,OKC,0,P
PF,Juan Toscano-Anderson (26728291),Juan Toscano-Anderson,26728291,PF/F/UTIL,3000,OKC@UTA 02/23/2023 09:00PM ET,UTA,7.91,P
C,Damian Jones (26728294),Damian Jones,26728294,C/UTIL,3000,OKC@UTA 02/23/2023 09:00PM ET,UTA,7.40,P
SG,Johnny Juzang (26728296),Johnny Juzang,26728296,SG/G/UTIL,3000,OKC@UTA 02/23/2023 09:00PM ET,UTA,0,P
C,Udoka Azubuike (26728299),Udoka Azubuike,26728299,C/UTIL,3000,OKC@UTA 02/23/2023 09:00PM ET,UTA,5.35,P
PF,Rudy Gay (26728301),Rudy Gay,26728301,PF/F/UTIL,3000,OKC@UTA 02/23/2023 09:00PM ET,UTA,11.20,Q
C,Micah Potter (26728304),Micah Potter,26728304,C/UTIL,3000,OKC@UTA 02/23/2023 09:00PM ET,UTA,3.58,Q
SG,Lindy Waters III (26728470),Lindy Waters III,26728470,SG/G/UTIL,3000,OKC@UTA 02/23/2023 09:00PM ET,OKC,8.77,P
PG/SG,Tre Mann (26728473),Tre Mann,26728473,PG/SG/G/UTIL,3000,OKC@UTA 02/23/2023 09:00PM ET,OKC,15.00,P
SF/PF,Ousmane Dieng (26728477),Ousmane Dieng,26728477,SF/PF/F/UTIL,3000,OKC@UTA 02/23/2023 09:00PM ET,OKC,10.62,P
PF/C,Eugene Omoruyi (26728481),Eugene Omoruyi,26728481,PF/C/F/UTIL,3000,OKC@UTA 02/23/2023 09:00PM ET,OKC,9.5,P
C,Chet Holmgren (26728485),Chet Holmgren,26728485,C/UTIL,3000,OKC@UTA 02/23/2023 09:00PM ET,OKC,0,O
C,Paul Reed (26728185),Paul Reed,26728185,C/UTIL,3000,MEM@PHI 02/23/2023 07:30PM ET,PHI,9.97,P
SF,Danuel House Jr. (26728348),Danuel House Jr.,26728348,SF/F/UTIL,3000,MEM@PHI 02/23/2023 07:30PM ET,PHI,8.51,P
PG/SG,Shake Milton (26728351),Shake Milton,26728351,PG/SG/G/UTIL,3000,MEM@PHI 02/23/2023 07:30PM ET,PHI,17.90,P
PF,Louis King (26728355),Louis King,26728355,PF/F/UTIL,3000,MEM@PHI 02/23/2023 07:30PM ET,PHI,0,P
C,Dewayne Dedmon (26728358),Dewayne Dedmon,26728358,C/UTIL,3000,MEM@PHI 02/23/2023 07:30PM ET,PHI,12.31,P
PF,P.J. Tucker (26728360),P.J. Tucker,26728360,PF/F/UTIL,3000,MEM@PHI 02/23/2023 07:30PM ET,PHI,10.90,P
